1,2
1,3
1,15
1,23
2,4
2,7
2,11
3,4
3,5
3,6
4,16
4,22
7,8
7,9
7,10
11,12
11,13
11,14
15,24
15,25
16,17
16,18
16,19
19,20
19,21
2,1,3
2,1,15
2,1,23
3,1,15
3,1,23
15,1,23
1,2,4
1,2,7
1,2,11
4,2,7
4,2,11
7,2,11
1,3,4
1,3,5
1,3,6
4,3,5
4,3,6
5,3,6
2,4,3
2,4,16
2,4,22
3,4,16
3,4,22
16,4,22
2,7,8
2,7,9
2,7,10
8,7,9
8,7,10
9,7,10
2,11,12
2,11,13
2,11,14
12,11,13
12,11,14
13,11,14
1,15,24
1,15,25
24,15,25
4,16,17
4,16,18
4,16,19
17,16,18
17,16,19
18,16,19
16,19,20
16,19,21
20,19,21
3,1,2,4
3,1,2,7
3,1,2,11
15,1,2,4
15,1,2,7
15,1,2,11
23,1,2,4
23,1,2,7
23,1,2,11
2,1,3,4
2,1,3,5
2,1,3,6
15,1,3,4
15,1,3,5
15,1,3,6
23,1,3,4
23,1,3,5
23,1,3,6
2,1,15,24
2,1,15,25
3,1,15,24
3,1,15,25
23,1,15,24
23,1,15,25
1,2,4,3
1,2,4,16
1,2,4,22
7,2,4,3
7,2,4,16
7,2,4,22
11,2,4,3
11,2,4,16
11,2,4,22
1,2,7,8
1,2,7,9
1,2,7,10
4,2,7,8
4,2,7,9
4,2,7,10
11,2,7,8
11,2,7,9
11,2,7,10
1,2,11,12
1,2,11,13
1,2,11,14
4,2,11,12
4,2,11,13
4,2,11,14
7,2,11,12
7,2,11,13
7,2,11,14
1,3,4,2
1,3,4,16
1,3,4,22
5,3,4,2
5,3,4,16
5,3,4,22
6,3,4,2
6,3,4,16
6,3,4,22
2,4,16,17
2,4,16,18
2,4,16,19
3,4,16,17
3,4,16,18
3,4,16,19
22,4,16,17
22,4,16,18
22,4,16,19
4,16,19,20
4,16,19,21
17,16,19,20
17,16,19,21
18,16,19,20
18,16,19,21
