filename                             E (Eh)           E+ZPE (Eh)       U (Eh)        H (Eh)        S (Eh/K)      G (Eh)      Stationary (True=1, False=0)
h2o.fchk                             -76.4089539770   -76.3877918418   0.0239966988  0.0249408829  0.0000719304  0                                      1
int-acyloxy_Conf-M0002-b3l-opt.fchk  -576.3950543822  -576.1891645103  0.2174435374  0.2183877215  0.0001768636  0                                      1
tmp_oh_OH_freq01.fchk                -536.9191754298  -536.7938181483  0.1335839169  0.1345281011  0.0001386768  0                                      0
tmp_oh_OH_freq02.fchk                -536.9196632486  -536.7945982406  0.1332826811  0.1342268652  0.0001385135  0                                      0
tmp_oh_OH_freq03.fchk                -536.9191010848  -536.7936266159  0.1336894771  0.1346336612  0.0001384879  0                                      0
tmp_oh_OH_freq04.fchk                -536.9178187252  -536.7923542973  0.1337043705  0.1346485546  0.0001386572  0                                      0
tmp_oh_OH_freq05.fchk                -536.9160455008  -536.7906127346  0.1336995454  0.1346437295  0.0001388791  0                                      0
tmp_oh_OH_freq06.fchk                -536.9139530931  -536.7885797255  0.1336761684  0.1346203525  0.0001392047  0                                      0
tmp_oh_OH_freq07.fchk                -536.9116677285  -536.7863618724  0.1336444791  0.1345886632  0.0001395345  0                                      0
tmp_oh_OH_freq08.fchk                -536.9092793172  -536.7840589245  0.1336028948  0.1345470789  0.0001399760  0                                      0
tmp_oh_OH_freq09.fchk                -536.9068526463  -536.7817235185  0.1335501319  0.1344943160  0.0001403666  0                                      0
tmp_oh_OH_freq10.fchk                -536.9044462425  -536.7794296552  0.1334795481  0.1344237322  0.0001408624  0                                      0
tmp_oh_OH_freq11.fchk                -536.9020797184  -536.7772077971  0.1333759911  0.1343201752  0.0001415213  0                                      0
tmp_oh_OH_freq12.fchk                -536.8997812856  -536.7750394447  0.1332887468  0.1342329309  0.0001420242  0                                      0
tmp_oh_OH_freq13.fchk                -536.8975535227  -536.7728986863  0.1332340264  0.1341782105  0.0001423175  0                                      0
tmp_oh_OH_freq14.fchk                -536.8954072865  -536.7708814240  0.1331501574  0.1340943415  0.0001427652  0                                      0
tmp_oh_OH_freq15.fchk                -536.8933439211  -536.7689099965  0.1330861634  0.1340303475  0.0001431037  0                                      0
tmp_oh_OH_freq16.fchk                -536.8913740472  -536.7670651991  0.1329979843  0.1339421684  0.0001435637  0                                      0
tmp_oh_OH_freq17.fchk                -536.8894971198  -536.7652957449  0.1329182511  0.1338624352  0.0001439642  0                                      0
tmp_oh_OH_freq18.fchk                -536.8877073825  -536.7636059367  0.1328371423  0.1337813264  0.0001443535  0                                      0
tmp_oh_OH_freq19.fchk                -536.8860293311  -536.7620348681  0.1327499559  0.1336941400  0.0001447537  0                                      0
tmp_oh_OH_freq20.fchk                -536.8844598125  -536.7605634769  0.1326629212  0.1336071053  0.0001451162  0                                      0
tmp_oh_OH_freq21.fchk                -536.8829924633  -536.7591813043  0.1325767216  0.1335209057  0.0001454234  0                                      0
tmp_oh_OH_freq22.fchk                -536.8816333951  -536.7579188979  0.1324840095  0.1334281936  0.0001457365  0                                      0
tmp_oh_OH_freq23.fchk                -536.8803752225  -536.7567833408  0.1323649287  0.1333091129  0.0001461167  0                                      0
tmp_oh_OH_freq24.fchk                -536.8792184188  -536.7557739095  0.1322238887  0.1331680728  0.0001465189  0                                      0
tmp_oh_OH_freq25.fchk                -536.8781580634  -536.7548263726  0.1321139423  0.1330581264  0.0001468605  0                                      0
tmp_oh_OH_freq26.fchk                -536.8771963027  -536.7538905862  0.1320592484  0.1330034325  0.0001469508  0                                      0
tmp_oh_OH_freq27.fchk                -536.8763293803  -536.7530919971  0.1319683285  0.1329125126  0.0001472585  0                                      0
tmp_oh_OH_freq28.fchk                -536.8755509585  -536.7528583983  0.1313378179  0.1322820020  0.0001503379  0                                      0
tmp_oh_OH_freq29.fchk                -536.8748673881  -536.7518331854  0.1316836670  0.1326278511  0.0001486977  0                                      0
tmp_oh_OH_freq30.fchk                -536.8742802108  -536.7511002742  0.1317367343  0.1326809184  0.0001476375  0                                      0
tmp_oh_OH_freq31.fchk                -536.8740846950  -536.7514431565  0.1310275980  0.1319717821  0.0001470300  0                                      0
tmp_oh_OH_freq32.fchk                -536.8744176549  -536.7516409832  0.1310619131  0.1320060973  0.0001460812  0                                      0
tmp_oh_OH_freq33.fchk                -536.8747039252  -536.7517320727  0.1311629775  0.1321071616  0.0001470035  0                                      0
tmp_oh_OH_freq34.fchk                -536.8748661413  -536.7516893739  0.1313048720  0.1322490561  0.0001426341  0                                      0
tmp_oh_OH_freq35.fchk                -536.8749286971  -536.7510107115  0.1325804194  0.1335246036  0.0001466460  0                                      1
tmp_oh_OH_freq36.fchk                -536.8749092885  -536.7509792423  0.1325983085  0.1335424926  0.0001465602  0                                      1
tmp_oh_OH_freq37.fchk                -536.8748195972  -536.7514406537  0.1314339981  0.1323781822  0.0001421205  0                                      0
tmp_oh_OH_freq38.fchk                -536.8746752052  -536.7511687114  0.1315559996  0.1325001837  0.0001421337  0                                      0
tmp_oh_OH_freq39.fchk                -536.8744889331  -536.7509866767  0.1315514064  0.1324955905  0.0001422452  0                                      0
tmp_oh_OH_freq40.fchk                -536.8742689676  -536.7507300311  0.1315874590  0.1325316431  0.0001422442  0                                      0
tmp_oh_OH_freq41.fchk                -536.8740227040  -536.7504825966  0.1315922053  0.1325363894  0.0001423387  0                                      0
tmp_oh_OH_freq42.fchk                -536.8737564245  -536.7502175184  0.1315975704  0.1325417545  0.0001424464  0                                      0
tmp_oh_OH_freq43.fchk                -536.8734773041  -536.7499580810  0.1315873528  0.1325315369  0.0001425860  0                                      0
tmp_oh_OH_freq44.fchk                -536.8731909493  -536.7496888869  0.1315818067  0.1325259908  0.0001427417  0                                      0
tmp_oh_OH_freq45.fchk                -536.8728996466  -536.7505699811  0.1304092729  0.1313534571  0.0001429157  0                                      0
tmp_oh_OH_freq46.fchk                -536.8726056538  -536.7501792001  0.1305185383  0.1314627224  0.0001430795  0                                      0
tmp_oh_OH_freq47.fchk                -536.8723126639  -536.7499834265  0.1304356574  0.1313798415  0.0001432671  0                                      0
tmp_oh_OH_freq48.fchk                -536.8720247694  -536.7496960054  0.1304554809  0.1313996650  0.0001434940  0                                      0
tmp_oh_OH_freq49.fchk                -536.8717420432  -536.7493427454  0.1305396675  0.1314838517  0.0001436968  0                                      0
tmp_oh_OH_freq50.fchk                -536.8714651997  -536.7490371536  0.1305847194  0.1315289035  0.0001439013  0                                      0
tmp_oh_OH_freq51.fchk                -536.8711954086  -536.7488453732  0.1305242561  0.1314684402  0.0001441224  0                                      0
